id,direction,entry_ts,entry_price,sl_price,tp_price,rr_planned,exit_ts,exit_price,outcome
0,BUY,2009-09-07 15:00:00,994.03,991.34,994.93,0.335,2009-09-07 16:00:00,994.93,TP
1,SELL,2009-09-10 03:00:00,992.15,998.76,989.48,0.404,2009-09-10 11:00:00,989.48,TP
2,SELL,2009-09-22 06:00:00,1006.26,1010.12,1005.03,0.319,2009-09-22 09:00:00,1010.12,SL
3,SELL,2009-10-12 02:00:00,1049.77,1056.45,1046.74,0.454,2009-10-12 12:00:00,1056.45,SL
4,BUY,2009-10-13 04:00:00,1054.22,1047.68,1056.7,0.379,2009-10-13 10:00:00,1056.7,TP
5,SELL,2009-10-16 11:00:00,1048.82,1053.6,1046.37,0.513,2009-10-16 13:00:00,1046.37,TP
6,BUY,2009-11-12 16:00:00,1113.74,1107.18,1116.01,0.346,2009-11-12 17:00:00,1107.18,SL
7,BUY,2009-11-12 20:00:00,1107.22,1099.51,1115.5,1.074,2009-11-13 17:00:00,1115.5,TP
8,BUY,2009-11-16 13:00:00,1128.4,1123.0,1130.69,0.424,2009-11-16 16:00:00,1130.69,TP
9,BUY,2009-11-18 20:00:00,1141.34,1138.3,1148.87,2.477,2009-11-19 09:00:00,1138.3,SL
10,SELL,2009-11-27 18:00:00,1173.2,1187.3,1154.87,1.3,2009-12-01 09:00:00,1187.3,SL
11,SELL,2009-12-07 20:00:00,1154.79,1176.3,1143.9,0.506,2009-12-08 14:00:00,1143.9,TP
12,BUY,2009-12-09 20:00:00,1125.13,1114.26,1144.68,1.799,2009-12-11 16:00:00,1114.26,SL
13,BUY,2009-12-11 18:00:00,1118.58,1102.95,1140.58,1.408,2009-12-16 20:00:00,1140.58,TP
14,BUY,2009-12-29 18:00:00,1097.63,1095.0,1107.76,3.852,2009-12-30 01:00:00,1095.0,SL
15,BUY,2009-12-30 02:00:00,1093.7,1086.95,1097.71,0.594,2009-12-30 15:00:00,1086.95,SL
16,SELL,2010-01-11 03:00:00,1155.37,1164.56,1135.95,2.113,2010-01-12 19:00:00,1135.95,TP
17,SELL,2010-01-13 23:00:00,1137.86,1152.55,1125.71,0.827,2010-01-20 14:00:00,1125.71,TP
18,BUY,2010-01-20 19:00:00,1112.49,1100.35,1129.56,1.406,2010-01-21 16:00:00,1100.35,SL
19,BUY,2010-01-22 11:00:00,1094.55,1091.64,1098.29,1.285,2010-01-22 12:00:00,1091.64,SL
20,SELL,2010-02-03 11:00:00,1119.18,1130.83,1112.34,0.587,2010-02-03 14:00:00,1112.34,TP
21,BUY,2010-02-03 19:00:00,1110.84,1101.78,1116.82,0.66,2010-02-04 11:00:00,1101.78,SL
22,BUY,2010-02-05 10:00:00,1053.25,1044.32,1066.19,1.449,2010-02-05 21:00:00,1066.19,TP
23,SELL,2010-02-18 12:00:00,1106.2,1117.15,1098.61,0.693,2010-02-18 15:00:00,1117.15,SL
24,BUY,2010-02-23 13:00:00,1112.47,1101.03,1118.85,0.558,2010-02-23 18:00:00,1101.03,SL
25,SELL,2010-03-01 16:00:00,1114.62,1122.68,1112.05,0.319,2010-03-02 13:00:00,1122.68,SL
26,SELL,2010-03-03 13:00:00,1138.65,1145.63,1134.05,0.659,2010-03-04 07:00:00,1134.05,TP
27,BUY,2010-03-12 19:00:00,1101.23,1092.35,1117.23,1.802,2010-03-16 13:00:00,1117.23,TP
28,BUY,2010-04-12 04:00:00,1165.4,1160.2,1167.03,0.313,2010-04-12 09:00:00,1167.03,TP
29,SELL,2010-04-14 13:00:00,1158.79,1164.34,1154.6,0.755,2010-04-14 15:00:00,1154.6,TP
30,BUY,2010-04-16 19:00:00,1134.75,1126.07,1148.34,1.566,2010-04-19 11:00:00,1126.07,SL
31,SELL,2010-04-26 02:00:00,1157.57,1160.08,1153.4,1.661,2010-04-26 11:00:00,1153.4,TP
32,SELL,2010-04-30 17:00:00,1180.92,1196.68,1175.5,0.344,2010-05-04 16:00:00,1175.5,TP
33,SELL,2010-05-17 09:00:00,1234.31,1247.2,1230.04,0.331,2010-05-17 11:00:00,1230.04,TP
34,BUY,2010-05-19 13:00:00,1207.64,1200.65,1214.87,1.034,2010-05-19 15:00:00,1200.65,SL
35,BUY,2010-06-01 17:00:00,1224.99,1220.04,1227.27,0.461,2010-06-02 10:00:00,1220.04,SL
36,SELL,2010-06-04 14:00:00,1204.55,1217.7,1197.54,0.533,2010-06-04 16:00:00,1197.54,TP
37,BUY,2010-06-18 05:00:00,1243.73,1235.12,1246.47,0.318,2010-06-18 13:00:00,1246.47,TP
38,BUY,2010-06-25 02:00:00,1242.8,1232.13,1246.9,0.384,2010-06-25 12:00:00,1246.9,TP
39,BUY,2010-06-28 20:00:00,1239.68,1227.93,1260.43,1.766,2010-06-29 15:00:00,1227.93,SL
40,SELL,2010-07-07 22:00:00,1202.48,1210.33,1185.99,2.101,2010-07-09 15:00:00,1210.33,SL
41,SELL,2010-07-13 16:00:00,1214.83,1237.06,1198.13,0.751,2010-07-16 14:00:00,1198.13,TP
42,SELL,2010-07-30 20:00:00,1180.08,1185.43,1168.93,2.084,2010-08-02 15:00:00,1185.43,SL
43,BUY,2010-08-02 19:00:00,1181.91,1174.9,1186.99,0.725,2010-08-03 12:00:00,1186.99,TP
44,SELL,2010-08-10 19:00:00,1196.08,1201.2,1192.77,0.646,2010-08-10 20:00:00,1201.2,SL
45,SELL,2010-08-25 11:00:00,1236.11,1242.95,1231.25,0.711,2010-08-26 09:00:00,1242.95,SL
46,BUY,2010-09-01 18:00:00,1246.05,1232.85,1253.8,0.587,2010-09-07 14:00:00,1253.8,TP
47,SELL,2010-09-23 01:00:00,1290.94,1295.88,1288.78,0.437,2010-09-23 14:00:00,1288.78,TP
48,BUY,2010-09-27 12:00:00,1298.16,1295.51,1299.16,0.377,2010-09-27 13:00:00,1299.16,TP
49,BUY,2010-09-30 16:00:00,1306.16,1286.72,1315.42,0.476,2010-10-01 11:00:00,1315.42,TP
50,SELL,2010-10-11 17:00:00,1347.42,1353.36,1341.92,0.926,2010-10-11 19:00:00,1353.36,SL
51,BUY,2010-10-15 17:00:00,1371.11,1355.73,1377.65,0.425,2010-10-18 10:00:00,1355.73,SL
52,BUY,2010-10-27 10:00:00,1331.75,1323.45,1340.45,1.048,2010-10-27 16:00:00,1323.45,SL
53,SELL,2010-10-29 20:00:00,1356.7,1369.68,1344.06,0.974,2010-11-03 16:00:00,1344.06,TP
54,BUY,2010-11-09 20:00:00,1402.6,1387.9,1420.3,1.204,2010-11-09 21:00:00,1387.9,SL
55,BUY,2010-11-19 17:00:00,1350.6,1333.2,1361.66,0.636,2010-11-22 05:00:00,1361.66,TP
56,BUY,2010-12-07 23:00:00,1400.9,1385.73,1428.6,1.826,2010-12-08 14:00:00,1385.73,SL
57,SELL,2010-12-15 15:00:00,1390.0,1396.9,1387.5,0.362,2010-12-15 16:00:00,1387.5,TP
58,SELL,2010-12-17 05:00:00,1375.1,1384.53,1369.0,0.647,2010-12-17 12:00:00,1369.0,TP
59,SELL,2010-12-24 05:00:00,1382.0,1386.05,1378.85,0.778,2010-12-24 06:00:00,1378.85,TP
60,BUY,2011-01-27 22:00:00,1313.45,1308.37,1335.39,4.319,2011-01-28 02:00:00,1308.37,SL
61,BUY,2011-01-31 04:00:00,1338.64,1334.65,1344.47,1.461,2011-01-31 05:00:00,1334.65,SL
62,BUY,2011-01-31 13:00:00,1330.8,1310.69,1336.88,0.302,2011-01-31 18:00:00,1336.88,TP
63,BUY,2011-02-15 17:00:00,1371.61,1363.83,1375.03,0.44,2011-02-15 21:00:00,1375.03,TP
64,BUY,2011-03-07 16:00:00,1436.72,1427.28,1443.0,0.665,2011-03-08 07:00:00,1427.28,SL
65,BUY,2011-03-08 17:00:00,1425.45,1415.46,1434.49,0.905,2011-03-09 13:00:00,1434.49,TP
66,SELL,2011-03-10 04:00:00,1428.87,1430.64,1427.57,0.734,2011-03-10 07:00:00,1430.64,SL
67,BUY,2011-03-14 07:00:00,1424.66,1415.67,1428.61,0.439,2011-03-14 13:00:00,1428.61,TP
68,SELL,2011-03-22 16:00:00,1425.86,1431.55,1421.53,0.761,2011-03-23 10:00:00,1431.55,SL
69,SELL,2011-03-28 19:00:00,1420.5,1425.72,1412.16,1.598,2011-03-29 11:00:00,1412.16,TP
70,BUY,2011-04-11 22:00:00,1462.9,1456.25,1470.27,1.108,2011-04-12 02:00:00,1456.25,SL
71,BUY,2011-04-12 18:00:00,1453.2,1430.5,1465.3,0.533,2011-04-14 15:00:00,1465.3,TP
72,SELL,2011-04-25 19:00:00,1508.83,1513.83,1503.18,1.13,2011-04-26 08:00:00,1503.18,TP
73,BUY,2011-05-05 22:00:00,1473.9,1453.8,1511.98,1.895,2011-05-09 22:00:00,1511.98,TP
74,SELL,2011-05-12 17:00:00,1489.61,1505.8,1482.3,0.452,2011-05-12 20:00:00,1505.8,SL
75,BUY,2011-06-01 10:00:00,1532.28,1524.9,1535.3,0.409,2011-06-01 15:00:00,1535.3,TP
76,SELL,2011-06-02 21:00:00,1532.83,1542.5,1526.4,0.665,2011-06-03 13:00:00,1526.4,TP
77,BUY,2011-06-08 16:00:00,1537.0,1524.8,1541.75,0.389,2011-06-09 18:00:00,1541.75,TP
78,BUY,2011-06-22 22:00:00,1549.54,1541.6,1556.63,0.893,2011-06-23 12:00:00,1541.6,SL
79,BUY,2011-07-22 21:00:00,1601.99,1593.9,1605.18,0.394,2011-07-25 01:00:00,1605.18,TP
80,BUY,2011-07-29 18:00:00,1624.75,1613.4,1628.52,0.332,2011-07-29 20:00:00,1628.52,TP
81,BUY,2011-08-03 21:00:00,1663.19,1652.97,1669.19,0.587,2011-08-04 14:00:00,1669.19,TP
82,BUY,2011-08-05 21:00:00,1658.45,1641.7,1663.75,0.316,2011-08-05 23:00:00,1663.75,TP
83,BUY,2011-08-22 16:00:00,1873.86,1847.15,1892.71,0.706,2011-08-22 18:00:00,1892.71,TP
84,BUY,2011-08-24 23:00:00,1759.89,1739.17,1784.2,1.173,2011-08-25 07:00:00,1739.17,SL
85,BUY,2011-08-30 06:00:00,1795.63,1786.17,1798.71,0.326,2011-08-30 11:00:00,1786.17,SL
86,SELL,2011-08-31 01:00:00,1835.43,1847.33,1819.35,1.351,2011-08-31 16:00:00,1819.35,TP
87,SELL,2011-09-05 11:00:00,1893.94,1904.2,1878.92,1.464,2011-09-06 06:00:00,1904.2,SL
88,SELL,2011-09-20 14:00:00,1792.82,1818.65,1772.15,0.8,2011-09-22 08:00:00,1772.15,TP
89,BUY,2011-09-23 21:00:00,1639.3,1625.39,1688.91,3.566,2011-09-26 07:00:00,1625.39,SL
90,BUY,2011-10-04 15:00:00,1648.49,1628.65,1669.91,1.08,2011-10-04 18:00:00,1628.65,SL
91,BUY,2011-10-20 05:00:00,1626.64,1607.38,1642.25,0.81,2011-10-20 18:00:00,1607.38,SL
92,SELL,2011-11-03 22:00:00,1763.14,1774.91,1753.25,0.84,2011-11-04 14:00:00,1753.25,TP
93,SELL,2011-11-08 01:00:00,1793.02,1810.41,1764.13,1.661,2011-11-09 22:00:00,1764.13,TP
94,SELL,2011-11-10 23:00:00,1758.18,1775.2,1750.95,0.425,2011-11-11 01:00:00,1750.95,TP
95,BUY,2011-11-14 10:00:00,1784.58,1770.7,1792.67,0.583,2011-11-15 06:00:00,1770.7,SL
96,BUY,2011-11-17 21:00:00,1720.5,1692.16,1757.01,1.288,2011-11-21 17:00:00,1692.16,SL
97,SELL,2011-11-22 11:00:00,1689.49,1713.49,1675.84,0.569,2011-11-25 10:00:00,1675.84,TP
98,SELL,2011-11-28 13:00:00,1712.85,1726.23,1704.89,0.595,2011-11-29 10:00:00,1704.89,TP
99,SELL,2011-11-30 14:00:00,1714.81,1723.16,1704.59,1.224,2011-11-30 15:00:00,1723.16,SL
100,SELL,2011-12-02 06:00:00,1743.06,1745.64,1740.69,0.919,2011-12-02 08:00:00,1745.64,SL
101,SELL,2011-12-07 17:00:00,1727.88,1745.85,1721.82,0.337,2011-12-08 15:00:00,1745.85,SL
102,BUY,2011-12-12 06:00:00,1691.79,1679.63,1713.42,1.779,2011-12-12 11:00:00,1679.63,SL
103,BUY,2011-12-20 06:00:00,1597.96,1592.11,1600.0,0.349,2011-12-20 09:00:00,1600.0,TP
104,SELL,2011-12-29 16:00:00,1530.7,1553.24,1523.59,0.315,2011-12-30 02:00:00,1553.24,SL
105,SELL,2011-12-30 19:00:00,1575.96,1592.86,1564.75,0.663,2011-12-30 20:00:00,1564.75,TP
106,BUY,2012-01-04 06:00:00,1597.8,1585.81,1605.69,0.658,2012-01-04 10:00:00,1605.69,TP
107,BUY,2012-01-19 20:00:00,1653.28,1642.52,1658.82,0.515,2012-01-20 09:00:00,1658.82,TP
108,BUY,2012-01-26 20:00:00,1724.29,1713.43,1728.36,0.375,2012-01-27 16:00:00,1728.36,TP
109,BUY,2012-02-17 14:00:00,1732.43,1726.61,1734.23,0.309,2012-02-17 15:00:00,1734.23,TP
110,BUY,2012-02-21 11:00:00,1740.06,1734.52,1741.73,0.301,2012-02-21 15:00:00,1741.73,TP
111,BUY,2012-02-29 23:00:00,1696.35,1657.48,1785.31,2.289,2012-03-14 11:00:00,1657.48,SL
112,SELL,2012-03-14 17:00:00,1649.75,1660.71,1644.72,0.459,2012-03-14 18:00:00,1644.72,TP
113,BUY,2012-03-16 02:00:00,1657.05,1645.65,1661.94,0.429,2012-03-16 03:00:00,1661.94,TP
114,BUY,2012-03-27 03:00:00,1689.9,1683.98,1692.04,0.361,2012-03-27 11:00:00,1692.04,TP
115,SELL,2012-03-28 11:00:00,1678.58,1686.47,1674.21,0.554,2012-03-28 15:00:00,1674.21,TP
116,BUY,2012-03-28 21:00:00,1659.67,1646.46,1676.47,1.272,2012-03-29 18:00:00,1646.46,SL
117,SELL,2012-04-16 14:00:00,1646.62,1651.98,1641.9,0.881,2012-04-16 15:00:00,1651.98,SL
118,BUY,2012-04-27 02:00:00,1656.54,1648.57,1659.11,0.322,2012-04-27 15:00:00,1659.11,TP
119,SELL,2012-05-11 19:00:00,1586.32,1593.46,1582.68,0.51,2012-05-11 20:00:00,1582.68,TP
120,BUY,2012-05-14 16:00:00,1559.34,1552.35,1580.91,3.086,2012-05-15 08:00:00,1552.35,SL
121,SELL,2012-05-16 18:00:00,1548.02,1559.11,1535.26,1.151,2012-05-16 20:00:00,1535.26,TP
122,SELL,2012-05-17 19:00:00,1576.24,1581.68,1551.86,4.482,2012-05-18 11:00:00,1581.68,SL
123,SELL,2012-05-24 17:00:00,1571.69,1584.37,1566.66,0.397,2012-05-24 19:00:00,1566.66,TP
124,SELL,2012-05-25 12:00:00,1559.87,1574.16,1552.82,0.493,2012-05-28 01:00:00,1574.16,SL
125,SELL,2012-06-01 18:00:00,1613.74,1629.82,1550.04,3.961,2012-06-06 10:00:00,1629.82,SL
126,SELL,2012-06-07 15:00:00,1622.89,1640.07,1616.32,0.382,2012-06-07 16:00:00,1616.32,TP
127,BUY,2012-06-07 19:00:00,1592.75,1549.21,1626.21,0.768,2012-06-14 15:00:00,1626.21,TP
128,BUY,2012-06-20 18:00:00,1606.0,1587.8,1618.09,0.664,2012-06-20 20:00:00,1618.09,TP
129,SELL,2012-06-25 05:00:00,1572.79,1588.99,1567.6,0.32,2012-06-25 13:00:00,1567.6,TP
130,BUY,2012-07-06 21:00:00,1579.17,1567.54,1595.36,1.392,2012-07-10 13:00:00,1595.36,TP
